Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1,MCC,ROC_AUC,PR_AUC,TN,FP,FN,TP,Dataset,Repeat,Seed,Fold,Train_Sites,Test_Sites
0.8571428571428571,0.8541666666666667,0.875,0.875,0.8333333333333334,0.875,0.7083333333333334,0.9583333333333334,0.9704861111111112,5,1,1,7,STRICT,7,77,1,42,14
0.9285714285714286,0.9166666666666667,0.8888888888888888,1.0,0.8333333333333334,0.9411764705882353,0.8606629658238705,0.9791666666666667,0.9861111111111112,5,1,0,8,STRICT,7,77,2,42,14
0.7857142857142857,0.7916666666666667,0.8571428571428571,0.75,0.8333333333333334,0.8,0.5773502691896257,0.9166666666666666,0.9415178571428572,5,1,2,6,STRICT,7,77,3,42,14
0.8571428571428571,0.875,1.0,0.75,1.0,0.8571428571428571,0.75,0.9270833333333334,0.9472222222222222,6,0,2,6,STRICT,7,77,4,42,14
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,8,STRICT,8,88,1,42,14
0.6428571428571429,0.6458333333333333,0.7142857142857143,0.625,0.6666666666666666,0.6666666666666666,0.28867513459481287,0.8541666666666666,0.9068813131313131,4,2,3,5,STRICT,8,88,2,42,14
0.7857142857142857,0.8125,1.0,0.625,1.0,0.7692307692307693,0.6454972243679028,0.875,0.9248511904761905,6,0,3,5,STRICT,8,88,3,42,14
0.5714285714285714,0.5625,0.625,0.625,0.5,0.625,0.125,0.7708333333333334,0.8409090909090908,3,3,3,5,STRICT,8,88,4,42,14
0.7857142857142857,0.7708333333333333,0.7777777777777778,0.875,0.6666666666666666,0.8235294117647058,0.5594309277855158,0.9479166666666666,0.9659090909090909,4,2,1,7,STRICT,9,99,1,42,14
0.8571428571428571,0.8333333333333333,0.8,1.0,0.6666666666666666,0.8888888888888888,0.7302967433402214,1.0,1.0,4,2,0,8,STRICT,9,99,2,42,14
0.8571428571428571,0.8541666666666667,0.875,0.875,0.8333333333333334,0.875,0.7083333333333334,0.9166666666666666,0.9415178571428572,5,1,1,7,STRICT,9,99,3,42,14
0.7857142857142857,0.7916666666666667,0.8571428571428571,0.75,0.8333333333333334,0.8,0.5773502691896257,0.875,0.908531746031746,5,1,2,6,STRICT,9,99,4,42,14
0.8571428571428571,0.875,1.0,0.75,1.0,0.8571428571428571,0.75,0.9583333333333334,0.9704861111111112,6,0,2,6,STRICT,10,111,1,42,14
0.9285714285714286,0.9166666666666667,0.8888888888888888,1.0,0.8333333333333334,0.9411764705882353,0.8606629658238705,0.9583333333333334,0.9704861111111112,5,1,0,8,STRICT,10,111,2,42,14
0.6428571428571429,0.625,0.6666666666666666,0.75,0.5,0.7058823529411765,0.25819888974716115,0.625,0.7145042457542458,3,3,2,6,STRICT,10,111,3,42,14
0.8571428571428571,0.875,1.0,0.75,1.0,0.8571428571428571,0.75,0.9895833333333334,0.9861111111111112,6,0,2,6,STRICT,10,111,4,42,14
0.6428571428571429,0.6458333333333333,0.7142857142857143,0.625,0.6666666666666666,0.6666666666666666,0.28867513459481287,0.8125,0.8700757575757576,4,2,3,5,EXTENDED,1,11,1,44,14
0.7857142857142857,0.8125,1.0,0.625,1.0,0.7692307692307693,0.6454972243679028,1.0,1.0,6,0,3,5,EXTENDED,1,11,2,44,14
0.9333333333333333,0.9285714285714286,0.8888888888888888,1.0,0.8571428571428571,0.9411764705882353,0.8728715609439694,0.9464285714285715,0.9526289682539683,6,1,0,8,EXTENDED,1,11,3,43,15
0.6666666666666666,0.6517857142857143,0.6363636363636364,0.875,0.42857142857142855,0.7368421052631579,0.3424747597107866,0.8214285714285714,0.8816287878787878,3,4,1,7,EXTENDED,1,11,4,43,15
0.9333333333333333,0.9285714285714286,0.8888888888888888,1.0,0.8571428571428571,0.9411764705882353,0.8728715609439694,0.9821428571428572,0.9861111111111112,6,1,0,8,EXTENDED,2,22,1,43,15
